sequence|label
I always wanted to see ELECTRA GLIDE IN BLUE for a very long time. I've always been intrigued by the title, the star and the desert but for some (now pretty clear) reason, this film is never shown on TV or I've happen to miss it if it's ever shown. Well, after watching the DVD, I now know why the movie is rarely shown: it's because it's not that good. In fact, I'd say it's pretty much of a mess.ELECTRA GLIDE IN BLUE was made by a first time director and it shows.|1
"i ' m not surprised that so many people fell for this one . when i was watching this movie , i thought it looked like a "" bad acid trip "" movie , but i never actually got to watch any of the videos because they did not seem to have anything in common . the plot seemed to be rather lame and boring . it is very difficult to make up a good story in which you do not know who you are or what you want to do next . there are lots of interesting things going on in the movies ."|0
THE NEXT KARATE KID, in my opinion, is an excellent martial arts flick. I thought that Eric (Chris Conrad) and Julie (Hilary Swank) looked good in their prom attire. To me, Ned (Michael Cavalieri) was a real bully. This was because he got Julie in trouble with Principal Wilkes (Eugene Boles). If you ask me, Colonel Dugan (Michael Ironside) was a pure a******! This was because he was a very harsh man who wouldn't tolerate mistakes.|1
would it surprise you that my ears and eyes almost bled from watching and listening to this awful movie ? i had to watch it three more times before coming up with the plot so i knew that it was not really a nice film . in all of the films we saw , it seemed as if everything was just a joke to them and nobody cared what the outcome was . how could they not see that the only thing that could make this film good on tv was their love life ? but why did no one care about these two actors ?|0
"if i were to pitch this movie idea to some hollywood bigwigs , i ' m sure it would sound like the best plot line ever . "" "" you really are an ass * * le , "" jeremy says in frustration . i have never seen anyone with such a great sense of humor . he ' s right though - this movie is pretty lame . i think it ' s just what people need to be doing for fun . besides that , i don ' t think any of us will get any more enjoyment out of this one than we already do ."|0
This is a crummy film, a pretender to a genre of surprise ending movies. And a genre that has been done so much better before. The plot limps along, with a predictable ending. (Yawn) The characters are unlikeable, and some are so unlikeable they are almost unwatchable. Matt Dillon, a fine, intense actor is totally miscast here and is stiff and mannered. The others are forgettable. Much of the dialog is sophomoric, again a pretender trying to be witty. I wouldn't hire the screenwriter to write my grocery list.|1
` ` delusion ' ' is what you experience when you watch this flick and then believe you saw something worthwhile . it 's a shame to watch it - it looks great , but it does n't show very much of the real thing . i just do n't know what it is . i guess it could be the most dangerous movie ever written . all i know is that i have seen a lot of horror movies over the last four years and this one is as good or better than anything i have read . i was hoping this would be an interesting night out in san diego but i think i was wrong .|0
found this film for one dollar ( $ 1 . 00 ) and the film was a complete waste of time . i really could n't help but feel that we were not doing anything right , just trying to get by . i ca n't even say how many times i have actually seen a movie in which there are too many mistakes and bad actors . i mean who wants to make mistakes ? then again , perhaps it would be more fun if you let me make mistakes for you . i certainly never wanted to mess with your brain .|0
the first season of bones is playing in finland and i ca n ' t believe the amount of bullshit that this thing puts out about itself . it really should have gone away years ago . how could it ? i would give a lot to see something like this happen to someone who lives in the city ! but this show is n't going to be much good if there is no talent involved in it . its just plain dumb . as i said , these guys are obviously amateurs . they will never know what real talent can feel like or even taste like until it has been experienced for a while .|0
I'm going to talk about this movie from two different perspectives here. First is from the view of if someone sees the movie and never read (and may not ever read) the book. The second is from someone who has. (Movie without book) From a movie standpoint, it was an okay movie. Nowhere near as good as either of the Underworlds but much better than UltraViolet. And I'm not just talking plot line either. The visual effects were iffy in many of the parts, though the wolf transformation was very nice.|1
this is definitely a touching movie , and a great expression of charles darwins personal struggle . the movie is so well written , i 'm tempted to turn it off right now . it is a good thing that i do not have to look at the script for more than sixty minutes , because otherwise i am going to miss out on this one . when i first read it i did not believe in what i was looking for , but after seeing it with my own eyes i realized that there is no point in trying to figure out who made the characters .|0
Brit director Chrstopher Nolan now has a career in America, and a reputation for making movies both popular and critically acclaimed; but this small film was where he started. And it certainly showcased his talent, with its striking black-and-white cinematography and achronological storytelling that prefigures his later 'Momento', albeit in a less extreme way. Thematically and mechanistically, the plot reminded me of David Mamet's 'House of Games', but the film still feels fresh and sharp, right up to the final twist of the ending whose flavour was expected, but whose pointedness is unexpectedly delicious.|1
Satya was excellent.... Company was just as good but more polished, probably owing to the money earned from previous movies. Ab Tak Chappan however is even more entertaining. The dialogue is gritty, crude and at times hilarious. Nana Pataker shines yet again in a role that only he can fulfill with authority but the supporting cast are very talented. Direction is tight and the story evolves at a satisfying pace with a very dramtic climax. As a depiction of reality it may be over-dramatised but at the end of the day it's a movie so the balance is spot-on.|1
What on earth happened to RGV? There are so many things wrong about this movie that one needs to stop and decide where to start- first and worst - the music. Every scene was accompanied with this pretentious background music that was telling you the mood, quite pathetically, I might add. Secondly, the lighting - do we really need such dark scenes where we are wondering if the projector is still working? And finally - if you are going to Indianise the Godfather and Godfather 2 - please realize that a lot of us have seen in.|1
"I saw this movie a fews years ago and was literally swept away by it. So charming and so very romantic. David Duchovny and Ms. Driver have chemistry that is so hot, you will need to take off a layer of clothing. The supporting cast is 100% top notch. Just watching Caroll O'Connor and Robert Loggia play off one another is pure poetry. Bonnie Hunt and Jim Bellushi and a wonderful team and some of the films most charming moments are when they are on the screen. Like Jim Belushi screaming at his children to go to sleep ""FOREVER!"""|1
Marked for Death (1990) spends more time on action sequences, than it does with focusing on its characters. After his first two impressive efforts, Above the Law (1988) and Hard to Kill (1989), this third Steven Seagal picture makes the idea clear: anyone who opposes him is meant to look like a fool; the bad guys are just there to make him look good.Seagal had been steadily building an audience that seemed a bit larger than those that follow the kick-'em-up antics of Chuck Norris or Jean Claude Van Damme.In Marked for Death, Seagal tosses aside any pretense at style and heads full throttle into exploitation.|1
"with the war not going well for the soviet union , stalin accepted volunteers from the prisons and used the soviet bloc as a way to start his campaign . at the very least , you should have seen this . "" "" how come he is so good ? "" metcalfe asked . "" what did he really do ? i mean , what were his actions ? was he involved in any sort of criminal activity ? "" lana laughed out loud . "" it 's a long story , but yes , he went on an illicit smuggling route through the bosnia mines ."|0
warning : i advise anyone who has not seen the film yet to not read this comment . if you plan on reading this as a whole , you will also be amazed at how easily you get bored . it has no real meaning in the modern world except to say that it is just a story about a woman with her husband and two children . when one finds out that someone is watching the movie , it 's hard for one to stop thinking about it . but what does it really matter ? the only way to keep from looking like a complete idiot is to look like an idiot .|0
lucio fulci was famous for his italian splatter movies , mostly his undead films like zombie or the beyond . but a lot of them were not . in some , it was just about how bad he would look at you when he saw you in this film . in others , it was as if he knew your name before you even came out to see it . though i doubt this film could have been good enough to go through so much time and effort on someone 's part . here is one that really gets me thinking . this film is probably the most boring plot line ever written .|0
Finally! Other people who have actually seen this show! It is the funniest anime I have ever seen, but most people have even heard about it. It is just hilarious. 'And so kintaro will continue to ride his trusty bike and maybe one day, he will save the world....or maybe not'. tare just some classic bits in it 'and so he will ride onto the next city...because he has no choice since his brakes are broken (study study study)' And some of the lessons that he writes down in his little notebook, 'today i had a very educational experience.|1
First of all, I would like to clarify that I consider this one of the funniest films I have ever seen. I have watched it almost 10 times just because I've wished to spread the deliciously tasteless innards of this film to other unsuspecting victims. It has the captivating essence of a hand-held camera recording of a distant nephew's seventh birthday. It has all the writing of a WWE match. And most of all, it has the consistency of a face scraped along a sidewalk. This movie is a masterpiece.The film begins with an almost instantaneous mutilation of three, drunken teens in the desert.|1
i really wanted to like this film , especially after all the buzz i ' d heard revolving around it . however , a few of my friends said they saw something else that might be interesting . one of those things is when someone who is actually in a movie dies , and you want to get back into the party scene . i ' ve been trying to watch this film for over a month now - i was so caught up with it that i have not even had time to read the plot . but , i am starting to understand how these guys got the idea of doing such a dirty joke .|0
"i saw this piece of pseudo - intellectual crap a couple of years ago , and it is now making a comeback on the television news . "" you think you 're doing everything right , but then you go and do all of these horrible things that your brother does to his wife when he ca n't pay his bills . "" what a crock ! i never thought of this . why would anyone do something so stupid ? why would any of us ? i just wish i could believe in the god who loves our parents and will take care of them ."|0
Three American lads are backpacking their way around Europe, challenging each other to accumulate as many daredevil stunts and Hot babe lays as they can, But Andy seeks true love. He finds this during their bungee-jump attempt on the Eiffel Tower, when he comes across and breathtakingly saves a suicidal and heart-burstingly beautiful Julie Delpy. His attempts to find this girl and the secret he uncovers lead he and his friends into an fast paced adventure full of action, romance, gore, and inspired humor, without ever taking itself to seriously, or striving to be anything other than a wildly entertaining 90 minute ride.|1
being a fan of bela lugosi , boris karloff , and lon chaney jr i had to see this . what tripe ! there is almost nothing to write about . the only real reason i can think of for making a film was to make a movie that was n't even supposed to exist in the first place . it was so stupid . by the time i finished the first chapter and went back to my office to check on the screenplay ( as if it would have mattered ) , i started to enjoy the movie . i am not much of a theater fan , but every movie with a plot is an adventure .|0
"My wife and I couldn't even finish the film. Truly, it was rather painful.First, the historical accuracy is compromised not so much by the events themselves as the ridiculous one-dimensionality of the characters. For instance, Augustus takes the ""burden"" of power only with great reluctance. Indeed, he is portrayed as if he's some sort of great humanist and believer in democracy.Second, the camp! My lord, the dialog is horrifically bad. I recall the soap opera my mother watched when I was a child having better dialog than this."|1
I enjoyed it. There you go, I said it again. I even bought this movie on DVD and enjoyed it a couple of more times. Call me old fashioned but I prefer movies like this to garbage like Die Hard 4 which hold up the box office and get critical acclaim just because you have some old guy saving America. Van Damme moves well for a guy of his age(47 I think), delivering kicks that reminds one of Kickboxer. If you like old school action and and explosions, this is the movie to watch.|1
i was actually fairly surprised to find out a movie based on the far cry game had been created . i found this all so disappointing , and i think you know what ' s going to happen if you ' re not there with your friends when it gets started . it is just like some kind of science fiction show , where they are supposed to find something in the future , but no one can ' t do it . well , as i have said before , i wasn ' t talking about the aliens ; i was talking about the aliens .|0
"Once again, Doctor Who delivers the goods by the bucket load. It has humour (""You're just making it up as you go along!"" ""Yup, but I do it brilliantly""), action, monsters (in this case still more kick-ass cybermen), tragedy and scare tactics. In short, just what the doctor ordered (pun intended). The way that the emotions move from one to the other is done so well that there is no feeling of ""get on with it""."|1
"Fans of Euro-horror flicks - Portland's video/DVD store Movie Madness has a whole section devoted to this genre - can't afford to miss Sergio Martino's gut-busting ""L'isola degli uomini pesce"" (called ""Screamers"" in the United States). Here's the lowdown: some shipwreck survivors land on an uncharted Caribbean island in 1891. The island is inhabited by a landowner, a scientist (Joseph Cotten) and his daughter (Barbara Bach). Sure enough, it turns out that the landowner is making the scientist create a race of fish-men."|1
i loved this show . such talent ; and i am so disappointed that it is canceled , after only about a month . there are some great hits with the action as well as the music . the film was not what i expected to see for myself when i came out here . however , i will never admit to it because i do n't know why i read it . it should be on the television , in a movie like this one , not on youtube . but even if you had watched the film , i bet it would not have prepared you for what you see now .|0
i am 17 , and a biased muppet fan , and while i love treasure island , christmas carol and horror movies make me squeamish about this . but i did watch it with you guys last year in new york . my mom is the first person on earth who loves this stuff , because she had to ' do something ' to change it . i would love to see how her day ends . if you are wondering , let us take a moment to thank all my best friends and family . i have to say that this movie takes up a lot of my time .|0
I Would have to disagree strongly with the previous lame comment. I watched this not expecting too much from it. The Fact is that the cast were superb, Especially The lead Teen Female. The dark sides of them all came through, all were messed up in an not obvious way. There was an underlying current which ran through the movie of teenage angst and sexuality. The serial killer role was played well also as you could feel he had gone through what they had as children. What this movie is, is a strong drama/thriller.|1
"Watched this months ago on Netflix Instant and left a review there.Let me say, most of the other reviews are very accurate. This movie was bad writing, bad acting and bad directing. I too, had liked Russell and Pare ""back in the old days"" and was very hopeful for them. In my Netflix review, I mentioned that I lost interest in the film and proceeded to wash the dishes and make a sandwich, yet still watching the movie from the kitchen. When I did return to the living room, I was very confused as the last 5 minutes of the film unfolded."|1
a small - town schoolteacher ( geena davis ) slowly begins to realize that she has suffered amnesia and really use to work at her mother 's house . this is bad for you , but bad for everyone . some kids ' parents are even worse . there is a group of girls who can be described as the most beautiful creatures i have ever seen , but one of the most annoying was the way they laughed . i am trying to keep an honest conversation going , because it is getting too boring , and after a while i think my ears are starting to burn .|0
"i feel dumber after watching the first 20 min , luckily i walked out and saved the rest of my money by taking a trip to an italian restaurant near my house . i was so hungry i actually ordered what looks like chicken nuggets ' n fries from a vendor in town . it is just too bad you have to eat real food - because i could have enjoyed it for a while . 
 "" so , who is this man ? "" one of the young girls asks with a smile on her face . 
 "" he works here as a janitor ."|0
"i ' m a christian , and i have watched pretty of christian movies , but this one is too bad . i ' m not really looking forward to it at the moment . i don ' t want to be involved in anything that has any meaning . "" "" then why are you here ? what happened ? "" "" i came to get my car back . i ' ve been driving for the last two days and i was tired so i dropped it off on the side of the road and left it there . i could see your place from the window ."|0
"this movie is not worth anything . i mean , if you want to watch this kind of stuff , you have to pay attention to something like this in order to understand what it 's about . as i sat there and watched this film i realized that this movie was pretty much a bust . the most interesting thing about this one was that the dialogue was really bad , even on the first part . after seeing the movie i just had to say , "" okay then . so what ? "" they made this movie out of movies from books and tv shows ."|0
this version of ` ` the magic flute ' ' is not only the worst production of mozart ' s great opera that i have seen , it 's one of the worst productions i have ever seen . but when you get back to the beginning of a movie , it does look pretty good . at first glance it looks very ordinary and predictable , but after seeing this work , i know something else is wrong . what should i do about it ? there seems to be some sort of code between the two operatic orchestras .|0
This was a pathetic movie. The Alien was decent, but the movie itself gave a new meaning to pitiful. The plot is something that's been done over and over again! However, this one does it the worst! The acting was c**p, the scenes were often too dark to get what was going on. No one developed any concern for the main character. The movie was far too slow paced, and the murder scenes that there were were foolishly crafted and ended up looking no more interesting than the rest of the movie.|1
"i watched this movie the other night , and i have to admit , it was quite possibly the best movie i did ever see ! "" "" what is wrong with it ? it is not very good ! "" "" well , maybe we can make it better ! if you had seen this movie , you would be amazed ! there is nothing worse than this movie . why do n't we try something interesting ? "" he said as he stood up on his chair and pulled out an empty wine bottle . he opened it and took a sip . """|0
This was a modern TV classic! The story goes like this, Bob has a girlfriend named Alicia. Bob and Alicia are in love and want to get married. Bob has a bud named Owen who he works with. Owen is jealous of Alicia. He likes hanging around with Bob. Now Owen hangs around with Bob AND Alicia. Bob and Owen have a secretary named Heather. Heather is very accident prone. She is also, if you haven't guessed it, is kind of lonely. She too hangs around with Bob and Alicia, and Owen.|1
much as i really like catherine zeta - jones , i wondered once again , why remake a good movie ? this movie was the last piece of an old puzzle that was about to be put into place by one of the most influential actors ever to live . in this movie , and on all the films i 've seen , it has never been any fun to watch . when you get back to your home , you will find that there is only one thing that bothers you anymore : what happens when you enter the movies ? where is the movie going to end up being ?|0
"Fair and nifty little science fiction/horror fantasy thriller about a well-known video game designer, Allegra Geller (Jennifer Jason Leigh) whose latest game - ""eXistenZ"" not only draws the attention of people who volunteer to try the game, but one who nearly kills her (and her game, too). Since she forced to stay out of sight, Allegra is stuck with Ted Pikul (Jude Law), a marketing trainee (""P.R. nerd"") to be her bodyguard even though he only has a gun that's made out of flesh and bone and the bullets are teeth."|1
fun , entertaining movie about wwii german spy ( julie andrews ! ) falling in love with american pilot ( john mcguire ) who has taken up a real role in the film but is never seen again . this movie is made in england and it is called ' the war of 1812 ' that is supposed to make it interesting . i want to be a fan of some of these books and would like to find out what they contain . for information about the author , please visit my website or blog at http : // ebooksmade0.co.uk .|0
mickey rourke is enjoying a renaissance at the moment . . . and fair play to him . i always liked his story , but i 've never read one of these . you can see why he has such an enjoyable time at home . for the most part there is nothing to do . i am not sure where all of the humor comes from . what i have seen thus far is quite bad . the only reason that was so good was that it had been played by a very bad actor . we are all in this together ; it would not be difficult to write a great deal about this comedy .|0
A 1957 Roger Corman non epic in which a sundry bunch of characters end up in a lead lined valley (sic) just as stock footage thermo nuclear heck is unleashed. It's the end of the world. Four men with guns, two women, (one an unmarried virgin the other a Las Vegas show gird who drinks and smokes - guess which one makes it to the end of the movie?) Time passes, tensions develop (or are supposed to). Something is in the woods eating radioactive rabbits. A mutant monster!|1
john knowles modern masterpiece , a separate peace , are one of many subtle , and subtly is the watch show that i watch when i am at work . on occasion i look at these films , but they are usually too dull to be worth watching as they are an abstraction that can not possibly be worth seeing in person . however , it just might be interesting to watch the movie from a distance if you like . i think it will be fun . all i care about is whether this film is being filmed in front of or behind a camera .|0
ca n ' t say this was n ' t made well . at a recent film festival the director admitted some scenes took longer than expected , and it 's true that we all loved being on tv in the summer . unfortunately , there was never much good about it , but it just could n't be done . it has been a great project , as far as movies go , but we can not really believe that it is the best thing to do . the first few years of this film were very dull and boring .|0
"when i finally got around to seeing this film recently , it turned out to be exactly what it looked like from the start . in the middle of the first scene , i saw my wife 's face staring down at me from one of the cameras , and her voice coming out distorted by the microphone that came out of nowhere . she was sobbing loudly with tears streaming down her face . i remember thinking , "" this is the worst day of my life ! "" i remember feeling very tired and just wanting to go home before the movie became a disaster ."|0
"The first few minutes of this movie don't do it justice!For me, its not funny until they board the sub and those hilarious characters begin to gel. I was born and raised in Norfolk Virginia and met my share of ""different"" sailors- I even married one! Most of my favorite movies are just funny, not topical, not dependent on sex or violence and funny every time I see them. Groundhog Day, Bruce Almighty and Down Periscope are still funny even after I know the dialog by heart. Kelsey Grammar with his ""God I LOVE this job!"|1
i can not understand why this 1971 hollywood production is currently only available through an australian video company , but it is interesting to see what we might find there . as you know , the director of that movie was a well - respected writer and film producer who made films in his spare time . so , i guess this was one of the reasons for the change of venue . while he had given me a very generous amount of money to stay close to san francisco with him , i still thought it was a waste of money because of all the drama in the world .|0
it starts quite good , but after a while you start to expect more from this film than you are prepared for . and this is no exception . in a short period of time the film has lost all its vibrancy . the whole experience seems as though it would end up in an era that will probably be over in a few weeks . i suggest we try to move forward with this movie . maybe we can do some good at the same time . now let 's see what our friends have to say so far .|0
"a group of cavers with a sad history take an author on a ' hairy ' adventure through an uncharted cave ( "" the lair "" ) . one of the characters in the first book was very nice , but he was very rude and did not have any manners - which i never thought about until you read the story . the characters were horrible and their actions were not pleasant . the only thing that makes this story interesting is that the plot is rather boring . this movie is quite a lot more entertaining than anything we could ever attempt ."|0
"I was so excited to finally watch ""Pulse"" after receiving it from Amazon, and I have to say I was utterly disappointed. I perhaps think I was too hyped up. I had expectations set by its fans that simply couldn't be met. After loving other Asian horrors, I thought I knew this would find a place in my heart.The story was slow, painfully so. I am a diverse fan of horror. I love the brutal, bloody craziness of ""The Devil's Rejects"" and I love equally the steady, growing macabre of ""A Tale of Two Sisters""."|1
"This film reeks of production line planning. It appears like the filmmakers looked at recent hit movies, and threw spaghetti on the screen - Jimmy Stewart! June Allyson! Anthony Mann! Baseball! War! Baby! Airplane! - ROLL 'EM! - The film does address the age of the Stewart/Allyson performers; though, I'm certain we are still supposed to think they are much younger.There are messages in ""Strategic Air Command"" I found curiously shocking and offensive, but I'll stick with one truly wretched element: The happily married couple is challenged when Mr. Stewart's character makes an important decision without consulting his wife."|1
But I can't say how I really feel about this pile of steaming dung. Where to begin. The film quality, there isn't any. I've seen clearer pictures on America's FUNNIEST HOME VIDEOS! The acting is substandard, the gore effects is okay. The clown mask is the best part of this movie, the story is repetitive. The same thing over and over again. At least in a Friday THE 13TH or HALLOWEEN we stick with one main character for the most part. There is no main characters, just victims.|1
"A girl named Isobel becomes possessed by a demon. The local priest (who formerly dated Isobel's sister) must try to save her, but the bigger problems are with the family's suspicions of each other rather than the demon in their daughter.This film is directed by Ethan Wiley, the writer of ""House"" and the writer/director of ""House II"". I loved the first film and liked the second one even better, so you would think this would be a winner. Alas, this one looks like it was thrown together by first-year film students."|1
` ` love life ' ' explores a very culturally relevant scenario of a marriage of convenience between a lesbian and a man . it is a story in which the two women fight to maintain control of both men . this story is quite short . when the wife goes home with another lover ( as i am sure that you will ) , they do not try to keep them together . so , how does one know whether or not the couple is lovers ? the answer is obvious . there are many people who claim to love each other , but for one thing they do n't .|0
This film is truly a sorry excuse for film making. The pacing is poor, the budget must have been depressingly low, and the acting is cut-rate (that is, except for Bela Lugosi). The audio at this point in time is also terrible, with so much extra noise in the background that it sounded to me as though a jet were taking off for the entirety of the movie. If these things bother you at all, don't watch this film.If you can get past this, however, you will find that the idea behind the film is a very good one.|1
Rififi, directed by Jules Dassin, is in line with the Melville crime pictures (particularly Bob le Flameur and to a point Le Cercle Rouge) of being totally focused on story and character and making sure not a word is spoken that doesn't need, and was ahead of its time. Ionically, it still has a kind of professionalism among its characters, a kind of respect (if not for selves than for others, a kind of duty) that rings well in post-WW2 France. Its actors carry faces for these characters that say 'we know what these guys are about', and from there the story takes off.|1
An on screen caption informs us that it is 'the Caribbean Sea, May 1891'. A small lifeboat drifts aimlessly at sea containing six convicts from a shipwrecked prison ship, and the ship's Doctor a Lt. Claude De Ross (Claudio Cassinelli). It's night, a strange current takes the boat towards a strange, unnamed and uncharted island. The boat hits some rocks and is torn apart. One of the prisoners is killed by what appears to be a slimy mutant fish-man creature. The next morning morning Claude wakes up to find himself washed upon a beach.|1
the portrayal of the marines in this film is spot on . the action scenes are some of the best ones ever made . i have to admit it 's very good . but when you see a movie with an old man and a nice young woman at work that do n't make sense , well , that just does n't go down well . i have only been to the movies for about four months and my life is so much simpler than what i have experienced in those first four months . no , i really am more of a writer who spends most of his time playing a game rather than actually writing one .|0
"after the across - the - board success of my name is barbra , cbs television permitted barbra to create an even more elaborate movie series . while i could tell she was happy with it ( but not that happy ) , her characters always seem to have a funny effect on the actors . the main difference is they also seem to be able to perform their roles perfectly . if you watch this movie , you know there is only one explanation and it is the most terrifying thing i have ever heard : it is a classic horror flick starring "" the queen of new york "" ."|0
I saw this last night at the Tribeca Film Fest and holy god was it bad.. From the script to the editing to the acting to the cinematography-- none of it worked. Not to mention the set design/costumes were so distractingly wrong for the time period (it spans the years from the late 70s up until 2006 or so). Even John Hurt, who's usually an amazing actor, was so over-the- top ridiculous. Granted, Quinten Crisp is an over-the-top guy to begin with, but Hurt was given nothing to work with here.|1
this amusing , sometimes poignant look at the hollywood detective genre of the 1940 ' s and 1950 ' s stars robert leach and charlie sheen . for me it is not a bad picture , although i am sure some of the actors in it have suffered from it . i do n't think we should waste any more time wondering about that movie , though . we just need to put our heads together and figure out what we can do with this information . there is no question now who may be behind this plot or why the plot is so twisted .|0
the film starts out with a narration of the protagonist explaining certain crimes occurring all over the city and then ending with the story getting to the bad end , where it turns into real - world war zone . what 's in this movie ? there were several scenes when it was too dark for me to see details . first off , you will be surprised how little information you are able to pick up from any of the characters on this set . i did some online research after seeing the movie and i thought i might get something that made sense out of it .|0
i saw ` ` sweeney todd ' ' on broadway in 1980 . it starred george hearn and featured most of the action , as well as some pretty great dialogue . a couple of years earlier i read a book by richard thompson that had to do with the new york city stock market crash , and was not happy at all about the movie being shown in print . after viewing this movie , i was more excited than any woman i have ever known . i mean , what would be the point ? it is just a lot of garbage . the actors are unconvincing , but they look good .|0
this turned out to be more of a women ' s romance - soap - suspense film than what i hoped it was . . . . simply because this character is very hot and has so much charm . the guy is a real pain in the ass ( even though he tries to act like he 's being nice about it ! ) , but his personality is pretty awesome and there is just something charming about him . the story starts off with a cute little girl as she meets her father who happens to be looking for a new boyfriend .|0
First things first, I am by no means a picky movie watcher. I'm not one of those people who gets movies just to pick apart the flaws and criticize, I, like most other people, watch to be entertained. I'll basically watch any type of movie of, no matter how bad anyone says it is (sometimes a movie's so terribly made and written that it invokes a sort of pity humor which i get a kick out of). With all that aside, lil pimp was simply pathetic. I saw it on TV and just didn't know what I was watching.|1
i ' m so glad he was n ' t alive to see this . this movie is a debauchery of his work . why would someone kill a young man on stage in front of all these people ? i don ' t know , it could have been a movie with some funny plot or even good acting . it just didn ' t seem that exciting to me . and the film itself was boring as hell . i do not know what my friend thought about this but it was quite bad . at least i can tell you there were two other movies i watched that did not end well .|0
"...I can't believe there are actually people here who recommend this movie... This is such a slow POS going absolutely nowhere. Oh yeah OK it goes somewhere, but you see that coming from miles away. Acting: Really really bad, maybe the bartender was kind of OK. Editing: BAD! I suppose the editor was told ""we need at least 90 minutes"", cause half of all the scenes could have gone in the bin. Music: don't get me started on that, the lousiest score I've ever heard."|1
Take it from me as a camera man who worked for Republic Studios from 1946 to 1950 and then Warners Bros and Paramount from 1950 to 1993, this is a piece of crap. Sure it would be great to show it to your favorite friends at a house party but to try to sell this on a DVD is absolutely ridicious.I have seen bad acting in my day but this is NO acting. The hero is almost laughable and he really thinks he is something judging from his comments on the specials. I hate to see his fan club.|1
I enjoyed the Mr. Magoo cartoons I saw while growing up. And I enjoy Leslie Nielson's comic skills. So, I thought, this marriage must produce a funny child.I couldn't have been more wrong.This movie was just awful. I don't recall a single funny moment. This is one of the two or three times (in hundreds of films over the years) I've wanted my money back. You will leave this film dejected because you won't ever have that time back to use in a better way. In a comedy, the plot must draw in the viewer and serve as a framework for gags.|1
well , after the hype surrounding the film and after surya labeling the film as path - breaking , i went into the back bedroom to get some clothes . there were three pairs of shorts hanging in front of my closet door . two of them were a pair of shorts and one was a sports bra . all of them seemed like they could have belonged to someone else . i grabbed the first one that i saw and stared at the picture . it looked like an old family photo , with four men sitting next to each other , and a few women standing around looking very attractive .|0
